name,publications,citations
BHU,5,13
Purulia Govt Med Coll & Hosp,1,0
SHKM Govt Med Coll,1,0
LV Prasad Eye Inst,20,227
Optometry Council India,2,2
Inst Math Sci,2,2
Aravind Eye Hosp & Postgrad Inst Ophthalmol,1,0
Dr Shroffs Char Eye Hosp,3,3
Pioneer Medilaser Pvt Ltd,1,0
Insight Vision Fdn,1,0
Goa Med Coll,1,0
Karnataka Inst Med Sci,2,1
Delhi Pharmaceut Sci & Res Univ,10,14
Composite Reg Ctr Persons Disabil,1,6
Hindustan Inst Technol & Sci,4,3
Sri Sivasubramaniya Nadar Coll Engn,4,4
Natl Inst Res TB,2,3
Kongunadu Arts & Sci Coll,1,3
ICMR Natl Inst Occupat Hlth,4,60
BMS Coll Engn,3,5
Vidya Siri Coll Pharm,1,0
IIT BHU Varanasi,1,1
Dayalbagh Educ Inst,2,2
Malaviya Natl Inst Technol,6,29
CSIR Natl Chem Lab,3,23
Bose Inst,13,32
Govt Yoga & Naturopathy Med Coll & Hosp,1,4
Assam Town Univ,1,4
Dr Chandramma Dayananda Sagar Inst Med Educ & Res,1,4
Guru Gobind Singh Indraprastha Univ,9,41
GGS Indraprastha Univ,2,1
PRIST Deemed Univ,1,1
REVA Univ,3,3
Inst Social & Econ Change ISEC Bangalore,1,0
MG Univ,1,0
SRM Univ AP,2,4
Inst Bioresources & Sustainable Dev IBSD,1,1
Pentamed Hosp,1,0
Indian Inst Management,4,26
MediCiti Med Coll,1,5
Galgotias Univ,5,24
State Bank Inst Credit & Risk Management,2,3
State Bank Inst Leadership,2,3
BBSBE Coll,1,0
Chandigarh Univ,10,40
SN Med Coll & Hosp,3,4
Nirma Univ,7,16
Ramnarain Ruia Autonomous Coll,1,1
Vinayaka Mission Res Fdn,1,1
Birla Inst Technol,12,59
Indian Inst Bombay,1,0
DY Patil Univ,1,0
Inst Bioinformat & Appl Biotechnol IBAB,4,11
Natl Inst Technol Karnataka,4,3
BW Lions Superspecial Eye Hosp,1,1
Def Res & Dev Org,2,18
Indian Inst Informat Technol Design & Mfg,3,3
Vivek Coll Tech Educ,1,1
JC Bose Univ Sci & Technol,3,8
Samsung India Pvt Ltd,1,1
Krishna Univ,5,16
Sri Krishna Coll Engn & Technol,3,121
Adikavi Nannaya Univ,1,1
PSG Inst Technol & Appl Res,5,122
Kerala Univ Hlth Sci,1,1
Grace Coll Pharm,1,1
SHUATS,1,1
Guru Ghasidas Univ,3,6
Kurukshetra Univ,2,3
Cooch Behar Panchanan Barma Univ,4,6
Govt Gujarat,1,0
GIZ India Off,1,0
Shri Ramswaroop Mem Univ,3,4
Babasaheb Bhimrao Ambedkar Univ,11,41
Int Food Policy Res Inst,7,40
FHI Solut,1,0
Univ Rajasthan,2,1
Dr APJ Abdul Kalam Tech Univ,2,0
Govt Med Coll Kota,1,0
Uttar Pradesh Univ Med Sci,1,0
GITAM,1,2
Minist Hlth & Family Welf,10,80
West Bengal Univ Anim & Fishery Sci,3,0
Dr Hari Singh Gour Vishwavidyalaya,11,102
Natl Inst Technol Raipur,4,12
Univ Coll Med Sci Delhi,1,183
Sharda Univ,11,221
IILM Coll Engn Technol,1,48
Yogi Vemana Univ,3,115
ICAR Natl Rice Res Inst,2,114
Reg Canc Ctr Trivandrum,1,51
ICMR Natl Inst Cholera & Enter Dis,9,190
Pondicherry Inst Med Sci,3,8
NMIMS Univ,2,9
Univ Agr Sci,2,22
Sushrut ENT Hosp,1,10
Dr Khans ENT Res Ctr,1,10
Magadh Univ,5,12
Asansol Girls Coll,1,1
Command Hosp,1,4
Natl Inst Malaria Res,2,8
Natl Inst Technol Srinagar,3,16
Prof M Viswanathan Diabet Res Ctr,2,15
