name,publications,citations
Sher E Kashmir Univ Agr Sci & Technol Jammu,1,5
Kerala Univ,1,9
Tata Mem Centre,1,7
Vaagdevi Coll Engn,1,0
PATH,1,2
Seth Sukhlal Karnani Mem Hosp,1,2
Dist Hosp Chittorgarh,1,2
Sri Jayadeva Inst Cardiovasc Sci & Res,1,23
Visvesvaraya Natl Inst Technol VNIT,1,8
Sri Shakthi Inst Engn & Technol Autonomous,1,0
Priyadarshini Inst Engn & Technol,1,0
Nitte,1,2
Somerville Sch Lott Carey Baptist Miss India,1,2
Govt Delhi,2,2
Govt Med Coll Baramulla,1,3
Gujarat Arts & Sci Coll,1,2
Raja NL Khan Womens Coll Autonomous,1,2
Seacom Skill Univ,1,2
Indira Gandhi Delhi Tech Univ Women,1,0
Sri Balaji Vidyapeeth,1,1
S N Bose Natl Ctr Basic Sci,1,2
Lokmanya Tilak Municipal Gen Hosp,1,0
INtegrat GENom HOst PathogEn INGEN HOPE,1,0
Kokilaben Dhirubhai Ambani Hosp & Med Res Inst KD,1,0
KDAH,1,0
Sri Aurobindo Med Coll & Post Grad Inst,1,1
Cytecare Hosp,1,4
Paras Hosp Gurgaon,1,4
Cent India Inst Med Sci,1,4
Stroke & Neurointervent Artemis Hosp,1,14
Panimalar Engn Coll,1,3
Anandaloke Multispecial Hosp,1,14
CAPFs Composite Hosp Border Secur Force Kadamtala,1,14
Care & Cure Hosp,1,2
Triphase Pharmaceut Pvt Ltd,1,0
Damodar Valley Corp,1,0
Natl Power Training Inst ER,1,0
Govt Inst Med Sci GIMS,1,0
Cognizant Technol Solut Pvt Ltd,1,0
Eurofins Advinus Ltd,1,0
Chennai Math Inst,1,0
Soc Rehabil & Care Children Hosp,1,0
Sir Jamshedjee Jeejeebhoy Grp Hosp,1,0
KJ Somaiya Coll Physiotherapy,1,0
Eras Lucknow Med Coll,1,0
Nehru Homoeopath Med Coll & Hosp,1,1
BARC Training Sch Complex,1,19
Indian Acad Degree Coll Aut,1,0
RxMD,1,3
IIT Tirupati,1,1
Educare Inst Dent Sci,1,3
JKKN Dent Coll & Hosp,1,3
IPGME & R,1,2
Jain Deemed Be Univ,1,0
Bharati Vidyapeeth Med Coll & Hosp,1,4
Kokilaben Dhirubhai Ambani Hosp & Res Inst,1,1
Hamdard Inst Med Sci & Res,1,17
India Inst Med Sci,1,17
Natl Inst Cholera & Enter Dis,1,9
Medanta Multi Superspecialty Hosp,1,0
Maulana Azad Coll,1,0
Presci Insilico Private Ltd,1,0
Biochem Res & Testing Lab,1,0
DIMHANS,1,0
BWSSB,1,0
Eternal Univ,1,0
NIT Agartala,1,1
Zonal Transplant Coordinat Ctr,1,5
Noida Inst Engn & Technol NIET,1,1
Indian Inst Management Ahmedabad IIMA,1,1
Asia Safe Abort Partnership,1,0
North East Inst Sci & Technol,1,0
Int Ctr Excellence Res,1,0
Amruta Hosp,1,0
ESI Hosp,1,0
Natl Canc Inst,1,0
Rhythm Heart Inst,1,0
Victoria Hosp,1,0
BAPS Pramukh Swami Hosp,1,0
Basement Tapan Hosp,1,0
Sanjivani Super Special Hosp,1,0
Deenanath Mangeshkar Hosp,1,0
Cr HL Trivedi Inst Transplantat Sci IKDRC ITS,1,0
Raghavendra Inst Pharmaceut Educ & Res RIPER Anan,1,0
Rural Dev Trust Hosp,1,0
Islamic Univ Sci & Technol Awantipora,1,0
SNS Coll Engn,1,1
Informat Commun Technol Acad,1,1
Inst Chartered Financial Analysts India Fdn Highe,1,1
MLB Med Coll,1,34
MIT Art Design & Technol Univ,1,0
Jawaharlal Nehru Smriti Govt Post Grad Coll,1,3
Narsee Monjee Inst Management Studies,1,4
Lal Bahadur Shastri Inst Management,1,4
Maharaja Agrasen Med Coll,1,2
Indian Inst Dalit Studies,1,1
CSIR Natl Geophys Res Inst,1,0
Welingkar Sch Management,1,0
MICA,1,0
Barkatullah Univ,1,0
Univ Delhi North Camps,1,11
Lina Diabet Care & Mumbai Diabet Res Ctr,1,0
TOTALL Diabet & Hormone Inst,1,0
Dr Makkars Diabet & Obes Ctr,1,0
Diacon Hosp,1,0
Dr Negalurs Diabet & Thyroid Special Ctr,1,0
CARE Hosp,1,0
Udyaan Hlth Care,1,0
Magna Ctr Obes Diabet & Endocrinol,1,0
JSS Acad Higher Educ & Res JSSAHER,1,0
Inst Bioresources & Sustainable Dev DBT IBSD,1,4
Ctr Innovat & Appl Bioproc DBT CIAB,1,4
Kristu Jayanti Coll Autonomous,1,2
Armed Forces Med Serv,1,2
Rajiv Gandhi Govt Gen Hosp,1,1
Natl Inst Epidemiol NIE,1,1
Salem Med Coll,1,1
Apollo Hosp Enterprises Ltd,1,6
Shri Vishnu Coll Pharm,1,8
Natl Inst Pharmaceut Educ & Res Ahmedabad NIPER A,1,8
Fdn Res & Educ Endoscopy,1,0
ICAR Natl Inst Plant Biotechnol,1,2
Uka Tarsadia Univ,1,1
