name,type
Govt NSCB Med Coll,College
CSIR Indian Inst Integrat Med,Institute
Natl Inst Pharmaceut Educ & Res NIPER Guwahati,Institute
Khyati Coll Pharm,College
Rungta Coll Pharmaceut Sci & Res,College
Jethwani Hosp,Hospital
Diacare Diabet Care & Hormone Clin,Hospital
Jothydevs Diabet Res Ctr,Research Center
Bharati Hosp,Hospital
Ruby Hall Clin,Hospital
Diabet Care Clin,Hospital
North Bengal Med Coll,College
Chitkara Univ,University
Pathfinder Res & Training Fdn,Research Center
Vidyasagar Coll,College
Pondicherry Univ,University
Natl Ctr Cell Sci,Research Center
Trident Acad Creat Technol,Academy
Baba Farid Univ Hlth Sci,University
Jairam Arts & Sci Coll,College
Kandaswami Kandars Coll,College
Govt Arts Coll Men,College
Kulkarni Reconstruct Urol Ctr,Research Center
Jubilee Mission Med Coll & Res Ctr,College
Kalinga Inst Ind Technol KIIT,Institute
Inst Nucl Med & Allied Sci INMAS,Institute
Indian Inst Technol Guwahati,Institute
Cent Univ Gujarat,University
Assam Royal Global Univ,University
Univ Allahabad,University
Univ Kerala,University
Dassault Syst India Pvt Ltd,None
English & Foreign Languages Univ,University
Burdwan Med Coll & Hosp,College
AIIMS Jodhpur,None
Apollo Gleneagles Hosp,Hospital
Lakshya Soc Publ Hlth Educ & Res,Research Center
Tata Energy Res Inst TERI,Institute
B J Wadia Hosp Children,Hospital
Bai Jerbai Wadia Hosp Children,Hospital
Mumbai Port Trust Hosp,Hospital
CRSGPP,None
Netaji Subhash Chandra Bose Govt Med,None
Netaji Subhash Chandra Bose Govt Med Coll,College
Coll Vet & Anim Sci,College
Amity Univ Uttar Pradesh AUUP,University
nference Labs,None
Indian Agr Res Inst,Institute
Chaudhary Charan Singh Univ,University
Chettinad Dent Coll & Res Inst,Institute
Saveetha Univ,University
Punjab Agr Univ,University
BJ Med Coll & Civil Hosp,College
Pandit DeenDayal Upadhyaya PashuChikitsa Vigyan V,None
Govt Coll Engn,College
IIT Jodhpur,None
Natl Inst Plant Genome Res,Institute
Ambedkar Univ Delhi,University
Indian Inst Technol Hyderabad,Institute
Natl Inst Technol Warangal,Institute
Maulana Azad Natl Inst Technol,Institute
Indian Inst Technol Indore,Institute
Sam Higginbottom Univ Agr Technol & Sci,University
Koneru Lakshmaiah Educ Fdn,None
Panimalar Med Coll Hosp & Res Inst,Institute
Panimalar Coll Nursing,College
Panimalar Med Coll Hosp & Res,College
St Pius X Coll Rajapuram,College
RV Coll Engn,College
Ashoka Univ,University
Indian Inst Technol Indore IITI,Institute
Wockhardt Hosp,Hospital
St Isabels Hosp,Hospital
Dept Minimal Access Surg,None
Era Univ,University
Eras Lucknow Med Coll Hosp,College
North Delhi Municipal Corp Med Coll & Hindu Rao H,College
LTM Med Coll & Gen Hosp,College
KPC Med Coll & Hosp,College
Sujala Polyclin,Hospital
Clin Dermatech,Hospital
Indian Stat Inst,Institute
IIT Madras,None
Natl Inst Adv Studies,Institute
Univ Kashmir,University
Bombay Hosp & Med Res Ctr,Hospital
Epilepsy Fdn India,None
Chengalpattu Med Coll & Hosp,College
Indian Inst Sci Educ & Res IISER Tirupati,Institute
Indian Inst Technol IIT Tirupati,Institute
SGT Med Coll,College
Indian Inst Technol Kanpur,Institute
Indian Vet Res Inst,Institute
NRI Inst Res & Technol,Institute
Oriental Inst Sci & Technol,Institute
Agricure Biotech Res Soc,Research Center
Govt Jammu & Kashmir,None
Indira Gandhi Natl Open Univ IGNOU,University
Madras Med Coll & Govt Gen Hosp,College
Cent Drug Res Inst,Institute
Acad Sci & Innovat Res,Academy
Int Inst Hlth Management Res,Institute
Azim Premji Univ,University
Avinashilingam Inst Home Sci & Higher Educ Women,Institute
Farmers Bio Fertilizers & Organ,None
Bharath Univ,University
Cent Univ Nagaland,University
Thiruvalluvar Univ,University
Vis Res Fdn,Research Center
Sri Venkateswara Coll Engn,College
Nichi In Ctr Regenerat Med,Research Center
Gautam Buddha Univ,University
Smriti Coll Pharmaceut Educ,College
Matoshri Inst Pharm,Institute
Inst Integrat Om & Appl Biotechnol IIOAB,Institute
IQVIA,None
Univ Gour Banga,University
Patanjali Res Fdn Trust,Research Center
Univ Patanjali,University
Sree Chitra Tirunal Inst Med Sci & Technol SCTIMS,Institute
St Johns Natl Acad Hlth Sci,Academy
Indian Inst Technol Madras,Institute
CSIR Cent Drug Res Inst,Institute
Sardar Patel Coll Pharm,College
SGPGIMS,None
Indian Council Med Res Natl AIDS Res Inst,Institute
Natl Brain Res Ctr NBRC,Research Center
North Bengal Med Coll & Hosp,College
Paramitha Children Hosp,Hospital
Natl Inst Med Sci,Institute
Kokilaben Dhirubhai Ambani Hosp & Med Res Inst,Institute
Univ Mysore,University
Nova IVF Fertil,None
Fortis CDOC Hosp,Hospital
Natl Diabet Obes & Cholesterol Fdn,None
Diabet Fdn India,None
Ramakrishna Mission Vivekananda Centenary Coll,College
Uluberia Coll,College
HBNI Univ,University
Fortune Inst Int Business,Institute
Indian Inst Management IIM Raipur,Institute
CAPFs Composite Hosp,Hospital
Amity Univ Haryana,University
ICMR Natl Inst Pathol,Institute
Dr Reddys Inst Life Sci,Institute
Pallium India,None
SPS Hosp,Hospital
Manav Rachna Int Inst Res & Studies,Institute
Barrackpore Rastraguru Surendranath Coll,College
Raiganj Univ,University
Greater Chennai Corp,None
Indian Inst Management Jammu,Institute
Indira Global Business Sch,School
Marathwada Mitra Mandals Coll Commerce,College
Natl Atmospher Res Lab NARL,Research Center
Jaypee Univ Informat Technol,University
CSIR Inst Genom & Integrat Biol,Institute
PSIT,None
JIS Univ,University
NIT,None
VNIT,None
Max Superspecial Hosp,Hospital
MV Ctr Diabet,Research Center
MV Hosp Diabetes,Hospital
M Viswanathan Diabet Res Ctr,Research Center
Univ Kalyani,University
Serampore Coll,College
IIEST,None
Shri Mata Vaishno Devi Univ,University
Birbal Sahni Inst Palaeosci,Institute
SRM Dent Coll,College
Bharati Vidyapeeths Coll Engn,College
Vellore Inst Technol,Institute
Dr BC Roy Engn Coll,College
CSIR Indian Inst Toxicol Res,Institute
MNR Dent Coll & Hosp,College
Univ Hyderabad Campus,University
Malla Reddy Med Coll Women,College
Medanta Medicity,None
Max Super Special Hosp Saket,Hospital
Amrita Inst,Institute
Aster Medicity,None
Aster CMI Hosp,Hospital
SGPGI,None
Gleneagles Global Hosp,Hospital
Kauvery Hosp,Hospital
Dr Rela Inst & Med Ctr,Institute
Bombay Hosp Inst Med Sci,Institute
GB Pant Inst Post Grad Med Educ & Res,Institute
Dayanand Med Coll,College
Pandit Deendayal Petr Univ,University
Govt PG Coll,College
GLA Univ,University
Delhi Pharmaceut Sci & Res Univ DPSRU,University
Adichunchanagiri Univ,University
Guru Nanak Dev Univ,University
SMS Med Coll & Hosp,College
Indian Sch Mines,School
Siksha O Anusandhan Univ,University
Sambalpur Univ,University
Modern Inst Technol,Institute
Saha Inst Nucl Phys,Institute
Homi Bhaba Natl Inst,Institute
Saha Inst Nucl Phys HBNI,Institute
Maharishi Markandeshwar Univ,University
Natl Inst Tech Teachers Training & Res,Institute
Siksha O Anusandhan Deemed Be Univ,University
MCKV Inst Engn,Institute
Jaypee Inst Informat Technol,Institute
