first_name,last_name,full_name,department,organization,country,leader,times_cited,team_id,position,api_name
Kaushal Kumar,Bhagat,"Kaushal Kumar, Bhagat",Ctr Educ Technol,Indian Inst Technol Kharagpur,India,"Kaushal Kumar, Bhagat",0,32,"first, leader",Kaushal
Sanjaya,Mishra,"Sanjaya, Mishra",Burnaby,Commonwealth Learning,Canada,"Kaushal Kumar, Bhagat",0,32,other,Sanjaya
Alakh,Dixit,"Alakh, Dixit",Min Engn,Indian Inst Technol Kharagpur,India,"Kaushal Kumar, Bhagat",0,32,other,Alakh
Chun Yen,Chang,"Chun Yen, Chang",Grad Inst Sci Educ,Natl Taiwan Normal Univ,Taiwan,"Kaushal Kumar, Bhagat",0,32,last,Chun
Shasank Sekhar,Swain,"Shasank Sekhar, Swain",Div Microbiol,ICMR Reg Med Res Ctr,India,"Walter, Luyten",2,36,first,Shasank
Shasank Sekhar,Swain,"Shasank Sekhar, Swain",NCDs,ICMR Reg Med Res Ctr,India,"Walter, Luyten",2,36,other,Shasank
Sujogya Kumar,Panda,"Sujogya Kumar, Panda",Biol,Katholieke Univ Leuven,Belgium,"Walter, Luyten",2,36,other,Sujogya
Walter,Luyten,"Walter, Luyten",Biol,Katholieke Univ Leuven,Belgium,"Walter, Luyten",2,36,leader,Walter
Sujogya Kumar,Panda,"Sujogya Kumar, Panda",Ctr Environm Climate Change & Publ Hlth,Utkal Univ,India,"Walter, Luyten",2,36,last,Sujogya
Venkatesh,Shankar,"Venkatesh, Shankar",College Stn,Texas A&M Univ,USA,"Venkatesh, Shankar",2,37,"first, leader",Venkatesh
Kirthi,Kalyanam,"Kirthi, Kalyanam",Santa Clara,Santa Clara Univ,USA,"Venkatesh, Shankar",2,37,other,Kirthi
Pankaj,Setia,"Pankaj, Setia",Fayetteville,Univ Arkansas,USA,"Venkatesh, Shankar",2,37,other,Pankaj
Pankaj,Setia,"Pankaj, Setia",Ahmadabad,Indian Inst Management IIMA,India,"Venkatesh, Shankar",2,37,other,Pankaj
Alireza,Golmohammadi,"Alireza, Golmohammadi",Tulsa,Univ Tulsa,USA,"Venkatesh, Shankar",2,37,other,Alireza
Seshadri,Tirunillai,"Seshadri, Tirunillai",Houston,Univ Houston,USA,"Venkatesh, Shankar",2,37,other,Seshadri
