full_name,publication_year,team_id,gender,position
"Jiang, Jiang",2015,576,male,other
"Yingwu, Chen",2015,576,male,other
"Kewei, Yang",2015,576,male,last
"Rongxing, Duan",2021,577,male,first
"Shujuan, Huang",2021,577,male,other
"Jiejun, He",2021,577,male,last
"Adilson E, Motter",2006,578,male,first
"Manuel A, Matias",2006,578,male,other
"Juergen, Kurths",2006,578,unknown,other
"Edward, Ott",2006,578,unknown,last
"Daniel T, Schmitt",2006,579,female,first
"Michael, Schulz",2006,579,male,last
"Christian, Beck",2009,580,male,first
"OF, Sankey",1998,581,unknown,first
"AA, Demkov",1998,581,female,other
"W, Windl",1998,581,male,other
"JH, Fritsch",1998,581,male,other
"JP, Lewis",1998,581,male,other
"M, Fuentes Cabrera",1998,581,male,last
"AY, SHCHEGLOV",1991,582,male,first
"Honghua, Zhang",2017,583,male,first
"Yanji, Wang",2017,583,female,other
"Ruixia, Liu",2017,583,male,other
"Ruirui, Zhang",2017,583,male,other
"Feng, Huo",2017,583,unknown,other
"Zhiqiang, Yang",2017,583,male,other
"Bin, He",2017,583,male,other
"Suojiang, Zhang",2017,583,male,last
"DE, MORTIN",1990,584,male,first
"Anhishek, Nair",2019,585,male,first
"Diana, Reckien",2019,585,male,other
"M F A M, van Maarseveen",2019,585,male,last
"Mark G, Orr",2014,586,male,first
"David C, Plaut",2014,586,unknown,last
"Yacov Y, Haimes",2010,587,male,first
"Clyde, Chittister",2010,587,male,last
"N, Berrah",2004,588,male,first
"JD, Bozek",2004,588,unknown,other
"RC, Bilodeau",2004,588,male,other
"E, Kukk",2004,588,male,last
"SJ, Lukasik",2003,589,male,first
"Kunihiko, Kaneko",2015,590,male,first
"YP, Rhee",2000,591,male,first
